,Course,Course URL,Subject,Last Offered,Course Title,Credits Offered,Assessment of Sustainability Focused or Inclusive,Offered to UG/G/Both or Other,Justification for classification (including quotes from syllabi/course descriptions where applicable),Description,Course Home Department,Last Catalog Year Reviewed,Unnamed: 12,"The courses were counted using catalog listings with language that is aligned with the Earth Charter, covering topics such as ecological integrity, social and economic justice, and democracy and nonviolence.  Course descriptions that included terms like ""environment,"" ""sustainable/sustainability,"" and ""energy"" were counted as Sustainability-Focused courses, and the other courses that address a topic from the Earth Charter but are not centrally-focused on sustainability were considered Sustainability-Included courses.",Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
3045,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=529&p_subj=CEVE,529,2023-2024,Ethics & Enginrng Leadership,3,,G,,"Description: Seminar introduces students to a framework for discussing and making ethical engineering and professional decisions. Using case studies and exercises, students will look at their own profession and its Engineering Code of Ethics as well as at the issues and risks they may face as managers and executives. Graduate students will do an extra paper. Instructor Permission Required.Cross-list: ENGI 529, Graduate/Undergraduate Equivalency: CEVE 320. Mutually Exclusive: Cannot register for CEVE 529 if student has credit for CEVE 320. ",,2021-2022,,,,,,
3046,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=531&p_subj=CEVE,531,2023-2024,Reinforced Concrete Buildings,3,,G,,Description: Design of reinforced concrete buildings including concepts and code practices routinely used in professional structural engineering design for concrete members and structural systems. Behavior of building members as related to design will be discussed as well. Graduate/Undergraduate Equivalency: CEVE 431. Recommended Prerequisite(s): CEVE 311. Mutually Exclusive: Cannot register for CEVE 531 if student has credit for CEVE 407/CEVE 431/CEVE 530. ,,2021-2022,,,,,,
3047,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=534&p_subj=CEVE,534,2023-2024,Fate/Transport Of Contaminants,3,,G,,"Description: Physical and chemical principles governing the fate and transport of contaminants in the aqueous environment, and the applications of such principles in environmental engineering.  Emphasis is put on mass transport and transportation processes in natural and engineering systems.  Previous course work in fluid mechanics and calculus through differential equations is strongly suggested.  Extra work required, for Graduate Students. Graduate/Undergraduate Equivalency: CEVE 434. Mutually Exclusive: Cannot register for CEVE 534 if student has credit for CEVE 434.  Repeatable for Credit. ",,2021-2022,,,,,,
3048,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=538&p_subj=CEVE,538,2023-2024,Computational Nanoscience,3,,G,,"Description: Computational methods such as first principles, kinetic Monte Carlo (KMC), classical MC (in Canonical, Grand Canonical, and isobaric-isothermal ensembles), and classic MD in predicting materials formation and properties. Case studies include cementitious materials, metals, and thermoelectric materials. Other case studies are possible depending on the student's background and instructor's approval. Cross-list: MSNE 538.",,2021-2022,,,,,,
3049,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=541&p_subj=CEVE,541,2023-2024,Structural Steel Buildings,3,,G,,"Description: Design of structural steel buildings including concepts and material routinely used in professional structural engineering design practice for steel members, connections and assemblies.  Behavior of building members as related to design will be discussed as well.  Graduate students registered to CEVE 541 will explore advanced topics in structural steel building behavior and design. Graduate/Undergraduate Equivalency: CEVE 441. Mutually Exclusive: Cannot register for CEVE 541 if student has credit for CEVE 441. ",,2021-2022,,,,,,
3050,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=543&p_subj=CEVE,543,2023-2024,Environmental Data Science,3,,G,,"Description: Introduction to the modeling and analysis of environmental data with a rigorous grounding in probability, optimization, and understanding of underlying physical mechanisms. This course will place a particular focus on the iterative process of building, computing, and critiquing predictive models of environmental processes. Assignments will use the Julia programming language, which will be introduced in the course.  Recommended Prerequisite(s):  A first course in statistical modeling (STAT 312, STAT 315, CEVE 313, or equivalent) and linear algebra (CAAM 335, MATH 355, or equivalent) is strongly recommended. Additional experience with statistics, optimization, programming, and/or machine learning will prove helpful.",,2021-2022,,,,,,
3051,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=544&p_subj=CEVE,544,2023-2024,Environ Microbiol & Ecology,3,,G,,"Description: Fundamentals of microbiology and the ecology of microbes, highlighting their interactions with each other and the environment, and integration of these principles in the context of important natural and engineered environmental systems. Graduate/Undergraduate Equivalency: CEVE 444. Mutually Exclusive: Cannot register for CEVE 544 if student has credit for CEVE 444. ",,2021-2022,,,,,,
3052,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=554&p_subj=CEVE,554,2023-2024,Computational Fluid Mechanics,3,,G,,"Description: Fundamental concepts of finite element methods in fluid mechanics, including spatial discretization and numerical integration in multidimensions, time-integration, and solution of nonlinear ordinary differential equation systems.  Advanced numerical stabilization techniques designed for fluid mechanics problems.  Strategies for solution of complex, real-world problems.  Topics in large-scale computing, parallel processing, and visualization. Prerequisites may be taken concurrently.  Additional work required. Cross-list: BIOE 554, MECH 554, Graduate/Undergraduate Equivalency: CEVE 454. Mutually Exclusive: Cannot register for CEVE 554 if student has credit for CEVE 454. ",,2021-2022,,,,,,
3053,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=555&p_subj=CEVE,555,2023-2024,Numerical Methods For Pdes,3,,G,,"Description: This course covers various numerical methods for solving partial differential equations: aspects of finite difference methods, finite element methods, finite volume methods, mixed methods, discontinuous Galerkin methods, and meshless methods. Both theoretical convergence and practical implementation of the methods are studied for elliptic and parabolic problems. May receive credit for only one of the following courses: CAAM 452/CEVE 455/CAAM 536/CEVE 555. Cross-list: CAAM 536, Graduate/Undergraduate Equivalency: CEVE 455. Recommended Prerequisite(s): CAAM 336 Mutually Exclusive: Cannot register for CEVE 555 if student has credit for CEVE 455. ",,2021-2022,,,,,,
3054,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=560&p_subj=CEVE,560,2023-2024,Bridge Eng. & Extreme Events,3,,G,,"Description: This course integrates information from various engineering and scientific disciplines to provide a rational basis for bridge design under regular and extreme loading. It provides an introduction to bridge engineering, including bridge systems, construction material, loading, and reliability-based design. Design, analysis, and retrofit for seismic and coastal threats will be introduced. Graduate/Undergraduate Equivalency: CEVE 460. Recommended Prerequisite(s):  CEVE 304 and CEVE 311. Mutually Exclusive: Cannot register for CEVE 560 if student has credit for CEVE 460. ",,2021-2022,,,,,,
3055,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=562&p_subj=CEVE,562,2023-2024,Infrastructure Resilience,3,,G,,"Description: This course will present concepts of resilience assessment and engineering in the context of civil structures and infrastructure systems, while acknowledging their role in supporting broader community resilience goals. We will explore the theoretical constructs, frameworks and formulations for evaluating resilience in the face of multiple hazards. Along the way, we review the key ingredients of such an evaluation ranging from hazard modeling and exposure to structural fragility and infrastructure performance assessment to restoration and recovery modeling. Topics will introduce students to relevant and timely resources such as opensource modeling environments and cyberinfrastructure to support resilience quantification, while leveraging case studies and projects to provide realistic context. Course content will be delivered via formal lectures, readings and discussion sessions, invited speakers, and working sessions. ",,2021-2022,,,,,,
3056,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=571&p_subj=CEVE,571,2023-2024,Soil Mechanics And Foundations,3,,G,,"Description: Introduction to fundamentals of soil mechanics will include phase relationships, grain size, plasticity, soil classification, and clay mineralogy.  The effect of water in soils, including capillarity, shrinkage and swelling, permeability, seepage and effective stress will be discussed.  Consolidation, settlement, compressibility, failure theory, and the strength of sands and clays will be investigated. Design considerations will be discussed. Introduction to fundamentals of foundation engineering will include subsurface exploration methods and lateral earth pressures. The design of shallow and deep foundations, including pile installation and geophysical and geotechnical site investigation will be presented. CEVE 471, the undergrad version, includes a lab.  Students in CEVE 571 (GR version—does not include a laboratory) will be required to do more advanced assignments and a project. Graduate/Undergraduate Equivalency: CEVE 471. Mutually Exclusive: Cannot register for CEVE 571 if student has credit for CEVE 470/CEVE 471/CEVE 570. ",,2021-2022,,,,,,
3057,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=576&p_subj=CEVE,576,2023-2024,Structural Dynamic Systems,3,,G,,"Description: Introduction to structural dynamic systems. Linear SDOF and MDOF discrete systems, undamped and damped systems, free and forced vibration, dynamic response to periodic and arbitrary excitations, numerical evaluation of dynamic response, response spectrum and modal analysis.  Additional topics for graduate version 576: Linear systems theory, transform methods, state space methods, feedback control, observers and identification. Applications using MATLAB. Demonstrations and laboratory examples. Students will be required to do more advanced assignments and a project. Cross-list: MECH 576, Graduate/Undergraduate Equivalency: CEVE 476. Mutually Exclusive: Cannot register for CEVE 576 if student has credit for CEVE 476. ",,2021-2022,,,,,,
3058,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=578&p_subj=CEVE,578,2023-2024,Earthquake Engineering,3,,G,,"Description: Characteristics of ground motion, analysis methods for linear and nonlinear base excited structures, and principles of seismic design including case studies and performance based engineering concepts. Probabilistic methods in earthquake engineering including seismic hazard analysis, fragility modeling, and risk assessment and mitigation.  Recommended Prerequisite(s): CEVE 576 or equivalent course in Structural Dynamics.",,2021-2022,,,,,,
3059,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=592&p_subj=CEVE,592,2023-2024,Modeling & Analysis Of Net Sys,3,,G,,"Description: This course introduces methods for modeling, characterizing and predicting the behavior of complex infrastructure and technological systems. The discussed analysis methods rely on network science optimization, and computational complexity principles so as to unravel the emergent features of structural and infrastructure systems. Topological properties, ranking tools, dynamic processes, and percolation-based resilience are studied from analytical, algorithmic, and numerical simulation perspectives. The course also explores interdependencies and mitigation actions for spatially and temporally evolving systems. The graduate level course includes advanced exercises in homework and exams, as well as a research-oriented final project. Graduate/Undergraduate Equivalency: CEVE 492. Mutually Exclusive: Cannot register for CEVE 592 if student has credit for CEVE 492.  Repeatable for Credit. ",,2021-2022,,,,,,
3060,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=596&p_subj=CEVE,596,2023-2024,System I.D. & Machine Learning,3,,G,,Description: Introduction to modeling and system identification of dynamic systems with machine learning. Students in CEVE 596 will be required to do more advanced assignments and a project. Graduate/Undergraduate Equivalency: CEVE 496. Mutually Exclusive: Cannot register for CEVE 596 if student has credit for CEVE 496. ,,2021-2022,,,,,,
3061,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=599&p_subj=CEVE,599,2023-2024,Special Topics,1 to 3,,G,,"Description: Independent research and investigation, including a course toward directed research and/or a research project. Study of selected topics including individual investigations special lectures, and seminars. Student works independently with only minimal faculty direction. Offered upon mutual agreement of faculty and student. May earn varying amount of credit hours depending on the amount of time devoted and the amount of academic work associated with the course. Repeatable for Credit. ",,2021-2022,,,,,,
3062,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=601&p_subj=CEVE,601,2023-2024,Seminar,1,,G,,Description: Continuing seminar on Civil and Environmental research.  Repeatable for Credit. ,,2021-2022,,,,,,
3063,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=602&p_subj=CEVE,602,2023-2024,Seminar,1,,G,,Description: Continuing seminar on Civil and Environmental research.  Repeatable for Credit. ,,2021-2022,,,,,,
3064,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=651&p_subj=CEVE,651,2023-2024,M.S. Research And Thesis,1 to 15,,G,,Description:  Repeatable for Credit.,,2021-2022,,,,,,
3065,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=652&p_subj=CEVE,652,2023-2024,M.S. Research And Thesis,1 to 15,,G,,Description:  Repeatable for Credit.,,2021-2022,,,,,,
3066,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=654&p_subj=CEVE,654,2023-2024,Adv Computational Mechanics,3,,G,,"Description: Advanced topics in computational mechanics with emphasis on finite element methods and fluid mechanics. Stabilized formulations. Fluid-particle and fluid-structure interactions and free-surface and two-fluid flows. Interface tracking and interface-capturing techniques, space-time formulations, and mesh update methods. Enhanced discretization and solution techniques. Iterative solution methods, matrix-free computations, and advanced preconditioning techniques. Cross-list: BIOE 654, MECH 654.",,2021-2022,,,,,,
3067,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=677&p_subj=CEVE,677,2023-2024,Special Topics,1 to 4,,G,,Description: Topics and credit hours vary each semester. Contact department for current semester's topic(s).  Repeatable for Credit. ,,2021-2022,,,,,,
3068,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=678&p_subj=CEVE,678,2023-2024,Applied Stochastic Mechanics,3,,G,,"Description: Nonlinear random vibrations, Statistical Linearization, ARMA filters modeling, Monte Carlo Simulation, Wiener-Volterra series, time-variant structural reliability, and Stochastic Finite Elements are presented from a perspective of usefulness to aerospace, civil, marine, and mechanical applications. Cross-list: MECH 678.",,2021-2022,,,,,,
3069,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=679&p_subj=CEVE,679,2023-2024,Applied Monte Carlo Analysis,3,,G,,"Description: Probability density and power spectrum based simulation concepts and procedures are discussed. Scalar and vectorial simulation are addressed. Spectral decomposition and digital filter algorithms are presented. Applications from aerospace, earthquake, marine, and wind engineering, and from other applied science disciplines are included. Cross-list: MECH 679.",,2021-2022,,,,,,
3070,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=684&p_subj=CEVE,684,2023-2024,Environ Risk Assess&Human Hlth,3,,G,,"Description: Learn and apply quantitative risk assessment methodology to estimate human health risk from environmental exposure to contamination in air, soil and water. Students will conduct a series of team projects focused on toxicology, risk based screening levels, exposure concentration estimation and risk characterization. Cross-list: STAT 684, Graduate/Undergraduate Equivalency: CEVE 484. Mutually Exclusive: Cannot register for CEVE 684 if student has credit for CEVE 484. ",,2021-2022,,,,,,
3071,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=800&p_subj=CEVE,800,2023-2024,Ph.D. Research And Thesis,1 to 15,,G,,Description:  Repeatable for Credit.,,2021-2022,,,,,,
3072,CEVE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=801&p_subj=CEVE,801,2023-2024,Phd Research And Thesis,1 to 15,,G,,Description:  Repeatable for Credit.,,2021-2022,,,,,,
3073,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=007&p_subj=CHBE,7,2023-2024,Visiting Research,0,,UG,,,,2021-2022,,,,,,
3074,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=238&p_subj=CHBE,238,2023-2024,Special Topics,1 to 4,,UG,,Description: Topics and credit hours vary each semester. Contact department for current semester's topic(s).  Repeatable for Credit. ,,2021-2022,,,,,,
3075,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=301&p_subj=CHBE,301,2023-2024,Chemical Engr Fundamentals,3,,UG,,"Description: Use of basic mathematical concepts and computer tools, physical laws, stoichiometry and the thermodynamic properties of matter to obtain material and energy balances for steady and unsteady state systems. Required for sophomores intending to major in chemical engineering. ",,2021-2022,,,,,,
3076,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=302&p_subj=CHBE,302,2023-2024,Applied Math For Chem Engs I,3,,UG,,"Description: This course and its second part in the Spring semester will cover mathematical concepts that are at the heart of mathematical modeling in Chemical Engineering. Machine calculations are indispensable for studying the mathematical models in realistic applications, while classical, ana- lytical techniques applied to simplified models serve to strengthen one’s intuition. In this course, we will learn both the analytical techniques and also complementary numerical methods. For the latter part, programming literacy is essential. This requires gaining proficiency in (1) the programming language, an aspect that involves learning the grammar and the syntax of the language, and (2) computational thinking, an aspect that is independent of the programming language and is a skill that is broadly applicable to all problem solving and analysis. We will study all these aspects with applications in Chemical and Biomolecular Engineering. If registering for CHBE 302, you must register for CHBE 301. ",,2021-2022,,,,,,
3077,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=303&p_subj=CHBE,303,2021-2022,Comp Analysis Chem Biom Proc,2,,UG,,"Description: An introduction to data analysis, numerical methods, structured programming and computation used to solve relevant chemical and biomolecular engineering problems. ",,2021-2022,,,,,,
3078,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=305&p_subj=CHBE,305,2023-2024,Applied Math For Chem Engs Ii,3,,UG,,"Description: Computer arithmetic, round-off and truncation errors, conditioning. Curve fitting and least squares, nonlinear regression.  Systems of nonlinear equations: Picard’s method. Newton-Raphson, continuation methods. Initial Value Problems: Euler’s methods (explicit and implicit);  Higher-order Runge-Kutta methods; Adaptive Runge-Kutta methods; Systems of ordinary differential equations; Numerical stability; Stiff systems; Multistep methods. Dynamical Systems:  Equilibrium points and their stability, periodic solutions, limit cycles.  Boundary Value Problems: ODE and PDE boundary value problems, finite difference approximations, Dirichlet, Neumann and mixed boundary conditions, Poisson’s equation, coupled BVPs.  Time-dependent PDEs: Method of lines, numerical stability.  Case studies from reaction engineering, thermodynamics, heat and mass transfer and fluid mechanics. Instructor Permission Required.",,2021-2022,,,,,,
3079,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=310&p_subj=CHBE,310,2023-2024,Intro Biomolecular Engineering,3,,UG,,"Description: Molecular biology fundamentals: DNA replication, transcription, and translation; regulation. Biochemical engineering: cellular metabolism, enzyme kinetics and bioreactor design. Recombinant DNA technologies and genetic engineering: manipulation of gene expression and protein production; molecular diagnostics and therapeutics. ",,2021-2022,,,,,,
3080,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=344&p_subj=CHBE,344,2023-2024,Chemical Engineering Lab Ii,2,,UG,,Description: Experiments demonstrating principles presented in core chemical engineering courses. ,,2021-2022,,,,,,
3081,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=382&p_subj=CHBE,382,2023-2024,Innovation & Sustainability,3,,UG,,Description: Topics in development and environmental economics focusing on how innovation can improve underdeveloped economies and our environment. Introduction to a general framework for assessing the impact of humans on the environment.  Environmental consequences of increasing energy use.  Case studies showing how innovation information technologies can provide alternatives for sustainable growth. Graduate/Undergraduate Equivalency: CHBE 582. Mutually Exclusive: Cannot register for CHBE 382 if student has credit for CHBE 582. ,,2021-2022,,,,,,
3082,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=390&p_subj=CHBE,390,2023-2024,Kinetics & Reactor Design,3,,UG,,Description: General areas that are covered in this course are (1) principles of chemical kinetics; (2) analysis of reaction rate data; (3) heterogeneous catalysis; (4) ideal reactor design and sizing; and (5) heat effects in reactor designs. ,,2021-2022,,,,,,
3083,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=401&p_subj=CHBE,401,2023-2024,Transport Phenomena I,3,,UG,,"Description: Fundamental principles of energy, mass, and momentum transport applied to the continuum; analysis of macroscopic physical systems based on the continuum equations; applications in chemical engineering practice. ",,2021-2022,,,,,,
3084,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=402&p_subj=CHBE,402,2023-2024,Transport Phenomena Ii,3,,UG,,Description: Continuation of CHBE 401. Emphasis on energy and mass transport applied to the continuum. CAAM 336 and MATH 381 may be taken concurrently with CHBE 402.  ,,2021-2022,,,,,,
3085,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=403&p_subj=CHBE,403,2023-2024,Design Fundamentals,4,,UG,,"Description: Design principles as applied to chemical engineering systems. Engineering economic principles. Costs of equipment, feedstocks, and utilities. Equipment design. Use of modern simulation tools. Graduate/Undergraduate Equivalency: CHBE 503. Mutually Exclusive: Cannot register for CHBE 403 if student has credit for CHBE 503. ",,2021-2022,,,,,,
3086,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=405&p_subj=CHBE,405,2023-2024,Decision Tools For Chem Engrs,3,,UG,,"Description: Use of concepts from economics, accounting, and finance in making design and operating decisions in the field of chemical engineering. Introduction to use of life-cycle analysis in decision-making. Appropriate for juniors and higher. Graduate/Undergraduate Equivalency: CHBE 506. Mutually Exclusive: Cannot register for CHBE 405 if student has credit for CHBE 506. ",,2021-2022,,,,,,
3087,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=411&p_subj=CHBE,411,2023-2024,Thermodynamics I,3,,UG,,Description: Development and application of the first and second laws of thermodynamics. ,,2021-2022,,,,,,
3088,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=412&p_subj=CHBE,412,2023-2024,Thermodynamics Ii,3,,UG,,Description: Advanced treatment of chemical and phase equilibria in multicomponent systems.  Includes a detailed study of nonideal solutions. Instructor Permission Required.,,2021-2022,,,,,,
3089,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=415&p_subj=CHBE,415,2023-2024,Separation Technologies,3,,UG,,"Description: This course covers general separation principles by equilibrium, diffusion and convective mass transport.  Topics covered mass transport, distillation,  solid-liquid and liquid-liquid extraction, crystallization, absorption, adsorption, stripping and membrane processes. Graduate/Undergraduate Equivalency: CHBE 515. Mutually Exclusive: Cannot register for CHBE 415 if student has credit for CHBE 515. ",,2021-2022,,,,,,
3090,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=418&p_subj=CHBE,418,2023-2024,Electron Transport In Solids,3,,UG,,Description: This course is designed to understand how charge and energy flow in basic semiconductor devices. First or second year graduate students from different disciplines and backgrounds will learn about fundamental concepts that describe the physics of semiconductors all the way from atoms and crystal structure to the workings of solar cells and light emitting diodes. Graduate/Undergraduate Equivalency: CHBE 518.,,2021-2022,,,,,,
3091,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=420&p_subj=CHBE,420,2023-2024,Transport Phenomena Bioeng,3,,UG,,"Description: BIOE 420/CHBE 420 covers transport phenomena as applied to biological systems and biomedical devices. Conservation of momentum and mass equations are first derived and then used to analyze transport of momentum and mass in biology, physiology, and in biomedical devices. This course is designed for senior bioengineering students. Cross-list: BIOE 420.",,2021-2022,,,,,,
3092,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=421&p_subj=CHBE,421,2023-2024,Energy Systems,3,,UG,,"Description: Building a sustainable modern society requires the development of energy systems that efficiently utilize our natural resources. This course will teach students to apply the core fundamentals of chemical engineering (thermodynamics, reaction chemistry and kinetics, and transport phenomena) in the analysis of both conventional and renewable energy systems. The course will focus on the following topics: (1) the thermodynamic efficiency limits of energy systems, (2) sources of energy in our surroundings (conventional and renewable fuels, solar, wind, hydro, geothermal, etc.), (3) energy storage (batteries, capacitors, thermophysical, mechanical, etc.) and (4) energy utilization (engines, power cycles, fuel cells, etc.). Department Permission Required. Recommended Prerequisite(s): CHBE 411",,2021-2022,,,,,,
3093,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=425&p_subj=CHBE,425,2023-2024,Thermo For Energy/Environment,3,,UG,,"Description: Review of fundamentals of phase and chemical equilibrium thermodynamics and electro-chemistry, and their applications to model the phase behavior of petroleum reservoir fluids, and the generation and transformation of energy from renewable resources. Modeling of the partitioning of contaminants in the environment, carbon capture and sequestration and other environmental applications. Graduate/Undergraduate Equivalency: CHBE 525.",,2021-2022,,,,,,
3094,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=450&p_subj=CHBE,450,2023-2024,Petro Phase Behav & Flow Assur,3,,UG,,Description: Reviews fundamentals of phase and chemical equalibria thermodynamics focusing on the application of experimental and advanced modeling techniques to characterize reservoir fluids and predict their phase behavior and thermo-physical properties. Intended for students who wish to develop expertise on PVT modeling and gain understanding of common petroleum flow assurance problems. Graduate/Undergraduate Equivalency: CHBE 550. Mutually Exclusive: Cannot register for CHBE 450 if student has credit for CHBE 550. ,,2021-2022,,,,,,
3095,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=455&p_subj=CHBE,455,2023-2024,Two Phase Flow/Multiphase Flow,3,,UG,,"Description: This course addresses the basics concepts, fundamentals, mathematical modeling and practical issues in multiphase fluid flow containing oil, water, gas and suspended solid particles in the oil and gas well columns, offshore and onshore production systems and pipelines. This course will have both an undergraduate and graduate level. Graduate/Undergraduate Equivalency: CHBE 555. Mutually Exclusive: Cannot register for CHBE 455 if student has credit for CHBE 555. ",,2021-2022,,,,,,
3096,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=465&p_subj=CHBE,465,2023-2024,Stat Phy W/Mol Nanosci & Tech,3,,UG,,"Description: This course explains the foundations of modern statistical physics, including the renormalization group theory, and describes applications to phenomena at the molecular (""nano”) scale in various disciplines including chemical engineering, physics, chemistry, electrical engineering, and material science. No knowledge of statistical physics is required, but fundamentals of thermodynamics are useful. Graduate/Undergraduate Equivalency: CHBE 565. Mutually Exclusive: Cannot register for CHBE 465 if student has credit for CHBE 565. ",,2021-2022,,,,,,
3097,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=468&p_subj=CHBE,468,2023-2024,Industrial Chemical Processes,3,,UG,,"Description: Survey of the range of key industrial chemical processes to understand the application of industrial chemistry, catalysis, reactor design, and other chemical engineering technologies in the development of those processes. Appropriate for juniors and higher. Graduate/Undergraduate Equivalency: CHBE 568.",,2021-2022,,,,,,
3098,CHBE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=477&p_subj=CHBE,477,2023-2024,Special Topics,1 to 4,,UG,,Description: Topics and credit hours vary each semester. Contact department for current semester's topic(s).  Repeatable for Credit. ,,2021-2022,,,,,,
