,Course,Course URL,Subject,Last Offered,Course Title,Credits Offered,Assessment of Sustainability Focused or Inclusive,Offered to UG/G/Both or Other,Justification for classification (including quotes from syllabi/course descriptions where applicable),Description,Course Home Department,Last Catalog Year Reviewed,Unnamed: 12,"The courses were counted using catalog listings with language that is aligned with the Earth Charter, covering topics such as ecological integrity, social and economic justice, and democracy and nonviolence.  Course descriptions that included terms like ""environment,"" ""sustainable/sustainability,"" and ""energy"" were counted as Sustainability-Focused courses, and the other courses that address a topic from the Earth Charter but are not centrally-focused on sustainability were considered Sustainability-Included courses.",Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
26,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=316&p_subj=ANTH,316,,Black Decolonial Feminisms,3,Y - focus,Both,"Focused on themes of migration, land rights, social inequality, and practices of resistance ","This course will use both historical and contemporary readings focusing on Black and decolonial/anticolonial feminisms as theory and praxis to reflect on the particular experiences of Afro-descendants throughout the Americas. Through a close reading of scholarly and popular texts focusing on the experiences of Black women throughout the Americas (with particular emphasis on Latin America and the Caribbean) we will engage with themes including transnationalism and migration, language, belonging, gender and sexuality, land rights, social inequality and practices of resistance. We will also analyze how art (music, visual and performance art) and activism represent important sites of resistance to contemporary struggles faced by Black communities.",Anthropology,2020-21,,,,,,
27,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=317&p_subj=ANTH,317/517,Spring 2022,Revolutions And Utopias,3,Y - focus,Both,"Either inclusive or focused - not sure which. Focuses on the idea of revolution and utopia - political transformation, politics, globalization, the anthropocene, etc. are all central to the syllabus and course description","In order to gain a more precise grasp of our contemporary political challenges and possibilities, this course in political anthropology investigates a wide range of historical and contemporary cases of rapid political and social transformation and carefully examines the ideas, desires and utopias that inspired them.",Anthropology,2020-21,,,,,,
28,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=319&p_subj=ANTH,319/519,,Symbolism And Power,3,N,Both,Discussions of violence and power,"This course considers anthropological theories of the state and examines ethnographic accounts of states in some unexpected places - that is, outside the official realm of government bureaucracies and institutionalized politics. Topics include so-called ""stateless societies,"" planning and bureaucratic rationality, violence and power, and ethnographic methods for studying the state. ",Anthropology,2020-21,,,,,,
29,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=320&p_subj=ANTH,320,Summer 2021 but no syllabus available,Climate Change And Social Inequality,3,Y - focus,UG,Focused specifically on both climate change and social inequality,"This course uses a social scientific approach to analyze and understand the relationship between climate change and social inequality. Through course readings, discussion and guest speakers, students will examine how the social, political, economic and ecological impacts of climate change exacerbate existing social inequities and disproportionately affect vulnerable communities. The course will also explore the concept of climate justice as a political and ethical framework for addressing climate change impacts and inequality. ",Anthropology,2020-21,,,,,,
30,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=321&p_subj=ANTH,321/521,,Social Life Of Dna,3,Y - included,Both,"Deals with ""our ideas of disability, race, kinship, citizenship, nationalism, and justice""  - looking at DNA as a way to understand and explain our problems and conflicts as a society. Yet... this is quite vague, so I am unsure.","This upper level seminar examines the increasing significance of genetics as a central component of our social, economic, and political life. As the potential applications of DNA to our social life increasingly appear endless, this course asks how is genetic information reshaping our understanding of the value of life itself? In addition to identifying markers, scientific knowledge production around genetic information is reconstituting key ideas of risk, care, capital that impact our ideas of disability, race, kinship, citizenship, nationalism, and justice. In this class, our aim is to ask a) what is historically and materially distinct about genetic information as a metaphor for social processes, b) how is the value of life itself being reproduced and transformed for whom, and c) what are potential consequences we face by relating to one another through the geneticization of social life?",Anthropology,2020-21,,,,,,
31,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=322&p_subj=ANTH,322/522,Taught in spring 2020 but syllabus unavailable,Global Im/Mobilities,3,Y - included,Both,"Gobalization, race and racism, nature-society relationship, cultural differences","How do cultural conceptions of race, ethnicity, and nationalism shape who we think we are? How are these ideas related to Western views of the relations between nature and society, and how do these differ from those in other cultures?",Anthropology,2020-21,,,,,,
32,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=326&p_subj=ANTH,326/526,,"Law, Power, And Culture",3,N,Both,"Though systems of law may play a role in causing and resolving sus challenges, this is not directed enough to warrant inclusion","An exploration of normativity and its different social forms across the world. It combines theoretical and ethnographic analyses of legal institutions and practices as cultural phenomena undergirded by power relations, knowledge forms and historical forces. ",Anthropology,2020-21,,,,,,
33,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=330&p_subj=ANTH,330,,Geoarchaeology,3,N,UG,"Environmental analysis, landscape evolution - however, just because it is related to the environment does not mean it is related to sustainability.","Overview of the basics of the analysis of soils and sediments as related to archaeological deposits, and introducing the key concepts of surficial geology, site formation, landscape evolution, and the scope of depositional environments. Includes practical methods for describing stratigraphy, sediments and soil profiles in the field.",Anthropology,2020-21,,,,,,
34,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=332&p_subj=ANTH,332/532,Spring 2022,Social Life Of Clean Energy,3,Y - focus,Both,"Renewables and their cultural importance/significance, globalization. ""explore[s] the history of how we came to be in our current energy sistuation... review[s] the many forms of clean power currently ascending to prominence and analyze[s] their positive and negative environmental and social impacts... look[s] forward toward the horizon of clean energy and investigate[s] what might be coming next""","This course considers the phenomenon of renewable energy, using a social scientific approach to analyze the various forces and interests involved in the development of renewable energy projects (such as hydropower, solar and wind) in both the global North and South. ",Anthropology,2020-21,,,,,,
35,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=333&p_subj=ANTH,333/533,,The Material World,3,N,Both,"Commodification, consumption - but these do not seem like true focus topics of the course. ","This course explores the mutually constructive relationship between humans and objects; it asks how objects are made meaningful and active by humans, and how, in turn, people acquire meaning, relations, and agency through material culture. Topics include: commoditization, consumption, gift exchange, subjects and objects, identity, fashion, collecting, art, and authenticity. ",Anthropology,2020-21,,,,,,
