Course URL,Course Name,Subject Code,Course Number
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=323&p_subj=ANTH,ANTH 323,ANTH,323
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=324&p_subj=ANTH,ANTH 324,ANTH,324
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=325&p_subj=ANTH,ANTH 325,ANTH,325
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=326&p_subj=ANTH,ANTH 326,ANTH,326
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=327&p_subj=ANTH,ANTH 327,ANTH,327
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=328&p_subj=ANTH,ANTH 328,ANTH,328
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=329&p_subj=ANTH,ANTH 329,ANTH,329
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=330&p_subj=ANTH,ANTH 330,ANTH,330
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=332&p_subj=ANTH,ANTH 332,ANTH,332
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=333&p_subj=ANTH,ANTH 333,ANTH,333
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=335&p_subj=ANTH,ANTH 335,ANTH,335
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=336&p_subj=ANTH,ANTH 336,ANTH,336
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=337&p_subj=ANTH,ANTH 337,ANTH,337
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=338&p_subj=ANTH,ANTH 338,ANTH,338
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=339&p_subj=ANTH,ANTH 339,ANTH,339
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=340&p_subj=ANTH,ANTH 340,ANTH,340
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=341&p_subj=ANTH,ANTH 341,ANTH,341
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=342&p_subj=ANTH,ANTH 342,ANTH,342
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=344&p_subj=ANTH,ANTH 344,ANTH,344
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=345&p_subj=ANTH,ANTH 345,ANTH,345
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=346&p_subj=ANTH,ANTH 346,ANTH,346
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=347&p_subj=ANTH,ANTH 347,ANTH,347
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=348&p_subj=ANTH,ANTH 348,ANTH,348
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=349&p_subj=ANTH,ANTH 349,ANTH,349
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=350&p_subj=ANTH,ANTH 350,ANTH,350
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=351&p_subj=ANTH,ANTH 351,ANTH,351
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=352&p_subj=ANTH,ANTH 352,ANTH,352
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=353&p_subj=ANTH,ANTH 353,ANTH,353
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=354&p_subj=ANTH,ANTH 354,ANTH,354
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=355&p_subj=ANTH,ANTH 355,ANTH,355
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=356&p_subj=ANTH,ANTH 356,ANTH,356
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=357&p_subj=ANTH,ANTH 357,ANTH,357
