Course,Course URL,Subject,Last Offered,Course Title,Credits Offered,Assessment of Sustainability Focused or Inclusive,Offered to UG/G/Both or Other,Justification for classification (including quotes from syllabi/course descriptions where applicable),Description,Course Home Department,Last Catalog Year Reviewed,,"The courses were counted using catalog listings with language that is aligned with the Earth Charter, covering topics such as ecological integrity, social and economic justice, and democracy and nonviolence.  Course descriptions that included terms like ""environment,"" ""sustainable/sustainability,"" and ""energy"" were counted as Sustainability-Focused courses, and the other courses that address a topic from the Earth Charter but are not centrally-focused on sustainability were considered Sustainability-Included courses.",,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=495&p_subj=HIST,495,,Modernization Of China And Japan,3,N,UG,No notable focus on sustainability,"Research seminar examining not only the respective modernizing experiences of Japan and China in the 19th and 20th centuries, but also the way that developments in one country influenced developments in the other. ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=499&p_subj=HIST,499,,Black At Rice,3,Y - focus,UG,Addressing sus challenges related to racial inequality at our own University; action-oriented towards change via final project,"Research seminar focused especially on recovering and analyzing the black experience at Rice University with final projects based on oral histories and primary source research. Open to juniors and seniors, and to others with the permission of the instructor. Part of the Task Force on Slavery, Segregation and Racial Injustice. ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=501&p_subj=HIST,501,,Native Women'S History,3,Y - focus,Grad,Indigenous women;'s history!,This reading course consists of texts that focus on women and gender in indigenous history from the colonial period to the early twentieth century. ,History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=502&p_subj=HIST,502,,Early America And The World,3,N,Grad,No notable focus on sustainability,A reading seminar in the history of Early America (1450-1820) with an emphasis on its multifarious interactions with the wider world. Seminar participants will read books that have inaugurated key developments in the field of Early American history. ,History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=503&p_subj=HIST,503,,North American Capitalism,3,Y - included,Grad,Understanding class inequality and uneven global development through the study of capitalism,This reading seminar is an introduction for graduate students to scholarship on the burgeoning field of the history of capitalism. The course centers largely in the U.S. but also considers developments across the world while noting capitalist formations elsewhere in North America from ca. 1500 to the near present. ,History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=504&p_subj=HIST,504,,Colonialism And Racism,3,Y - focus,Grad,Understanding racial inequality and uneven global development through theoretical frameworks,"This seminar examines histories of colonialism and racism and resistance to these structures  across Asia, Africa, and America: both as articulated by historical protagonists and by scholars.  ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=505&p_subj=HIST,505,,The Atlantic Slave Trade,3,Y - included,Grad,Atlantic slave trade as an important foundation for modern sus challenges of racial inequailty and uneven global development,"This research seminar studies four centuries of transatlantic slave voyages in comparative perspective and complements existing literature on the Atlantic economy. Primary sources will be drawn from the quantitative data of www.slavevoyages.org. Students will be able to focus on particular regions on both sides of the Atlantic.
 ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=506&p_subj=HIST,506,,Colonial To Republican Brazil,3,Y - included,Grad,"Looking at change over time  in Brazil, focusing on particular developmetns including trade, slavery, genocides of indigenous poeples, etc. that relate to sus challenges of anti-indigenous violence and racial inequality","This course traces the history of Brazil from colony to republic. Topics to be covered include: encounters, Jesuit missions, Indian and African slavery, plantation society, the court in Rio de Janeiro, and change and continuities in the 19th century. ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=512&p_subj=HIST,512,,Borderlands & Immigration,3,Y - included,Grad,"Looking at movement and immigration, topics important to contemporary sus challenges","This reading seminar is an introduction for graduate students to the historiography that constitutes the fields of U.S.-Mexico borderlands history. The seminar covers the period from the early colonial period to the near present. Special attention is given to historical questions that have been posed in the related but separate fields of American immigration history, including the significance and conceptualization of U.S. citizenship. ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=536&p_subj=HIST,536,,America & The World,3,Y - included,Grad,"""Students are encouraged to think broadly about empire and imperial relationships of which the united states constitute an integral part"" - looking at economic inequality, uneven global development, and interventionism/colonialism/violence/conflict","In this graduate seminar, we will examine U.S. history in a global context, focusing particularly on imperialism and empire-building. Students are encouraged to think broadly about empire and imperial relationships of which the United States constitute an integral part, looking at domination in economic and cultural forms in addition to political subjugation, formal colonialism and military interventions/dominations. ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=539&p_subj=HIST,539,,Origins Of Afro America,3,Y - included,Grad,"Change over time in ""Black society, culture, and labor"" - racial and economic inequality","Graduate research seminar focused on central issues in the articulation of black society, culture, and labor in the Americas from the 15th century to the early 19th century. ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=558&p_subj=HIST,558,,"Religion, Race, & Difference",3,Y - included,Grad,Sus challenges related to religious difference and racial inequality," Graduate seminar will explore the relationship between religion, race, and difference in the modern world. Using both American and non-American cases, the course will explore how and why unequal multi-religious and multi-racial societies - from the United States to the Middle East and South Asia - have elaborated and adapted to modern ideas of secular citizenship and multiculturalism. ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=563&p_subj=HIST,563,,Early Atlantic Race & Slavery,3,Y - included,Grad,Action-oriented (writing a publishable article) towards confronting sus challenges of racial inequality,"Graduate research seminar designed to help students formulate, research, and produce an initial draft of what will hopefully become a publishable scholarly article dealing with race or slavery in the Atlantic World. ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=565&p_subj=HIST,565,,The Atlantic World,3,Y - included,Grad,"""Thematic topics will include commercial networks, political/imperial/legal structures, and slavery"" - topics important to our understanding of sus challenges related to uneven development and economic/racial inequality","Graduate reading seminar provides an introduction to the historiography of the Atlantic World, especially Africa and the British Atlantic during the 17th and 18th centuries with comparison to France and French Caribbean and to Iberia and Spanish and Luso-America. Thematic topics will include commercial networks, political/imperial/legal structures, and slavery. ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=566&p_subj=HIST,566,,"North America, 1500-1800",3,N,Grad,No notable focus on sustainability,Graduate reading seminar provides overview of historical literature pertaining to British North America and the Atlantic World from 1500 to 1800. Related topics in Spanish and French North America also considered. ,History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=570&p_subj=HIST,570,,Us Environmental History,3,Y - focus,Grad,"Focusing on environmental history with attention to ""movements"" attuned to solving sus challenges over time","Graduate reading seminar on U.S. environmental history from the colonial era to the 20th century, including conservation and environmental movements. ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=571&p_subj=HIST,571,,Historiography Of Nationalism,3,Y - included,Grad,"Emphasis on ""colonial and postcolonial"" understandings and orientations of the world - focus on global development","This seminar will explore the historiography of pluralism and political belonging and its relationship to various national formations, including the United States. It will read major figures such a W.E.B. Dubois alongside exemplary figures from the colonial and postcolonial worlds to explore how claims to national belonging are made through the construction of historical narratives. ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=574&p_subj=HIST,574,,Slavery And Slaving In Africa,3,Y - included,Grad,Looking at slavery provides important foundations to address sus challenge of racial inequality; also looks at gender inequality,"This course introduces graduate students to the key debates, scholars, and historiography relating to slavery and slaving in African history. Students will also gain basic familiarity with the narrative of slaving in Africa as well as introductions to topics in slavery studies like gender, commodities, and identity. ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=579&p_subj=HIST,579,,Colonial Latin America,3,Y - included,Grad,"""the colonial economy"" and ""slavery"" = important topics for sus challenges of economic and racial inequality, uneven global development","Graduate reading seminar on the Spanish and Portuguese colonies in the Americas. Topics covered include: the Iberian heritage, encounters and conquests, historical demography, the colonial economy, slavery, family life, religion, and the coming of independence. ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=583&p_subj=HIST,583,,Southern History,3,N,Grad,eliminated pre-syllabus gathering. No notable focus on sustainability,Graduate research seminar on the history of the American South. ,History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=584&p_subj=HIST,584,,"The Early South, 1600-1800",3,N,Grad,eliminated pre-syllabus gathering. No notable focus on sustainability,Graduate research seminar focusing on the southern portions of colonial British North America. ,History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=588&p_subj=HIST,588,,19Th Century America,3,N,Grad,eliminated pre-syllabus gathering. No notable focus on sustainability,Graduate reading seminar on American history from the early republic to World War I. Contents vary. ,History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=590&p_subj=HIST,590,,Introduction To World History,3,N,Grad,eliminated pre-syllabus gathering. No notable focus on sustainability,"Graduate reading seminar in world history.
 ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=595&p_subj=HIST,595,,The American South,3,N,Grad,eliminated pre-syllabus gathering. No notable focus on sustainability,"Graduate reading seminar on major scholarly literature of southern history. Includes readings, discussions, and a major paper on historiographical topic decided in consultation with the instructor. ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=596&p_subj=HIST,596,,Atlantic World Port Cities,3,N,Grad,No notable focus on sustainability,"This graduate seminar investigates the social and economic history of key port cities in the Atlantic World from the sixteenth through the nineteenth centuries. Emphasis will be placed on slavery and the slave trade, the spatial history of the port city, and the experiences of men and women. Digital humanities methods will be demonstrated through a case study of Rio de Janeiro. Students will develop and write a final paper on the port city of their choice. ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=598&p_subj=HIST,598,,Making Of The Modern Arab World,3,N,Grad,eliminated pre-syllabus gathering. No notable focus on sustainability,"This seminar explores how various approaches from the secular to the religious, from the colonial to the post-colonial, and from the orientalist to the nationalist and post-orientalist have shaped the idea of what constitutes the Arab world.
 ",History,2020-21,,,,,,
HIST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=604&p_subj=HIST,604,,Economic History,3,N,Grad,eliminated pre-syllabus gathering. No notable focus on sustainability,"Advanced graduate seminar examining world economic history and the history of political economy from 1500 to the present.
 ",History,2020-21,,,,,,
HONS,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=HONS,470,Fall 2021,Rice Undergraduate Scholars Program,1,NO,UG,"This technical course is very hands-on, focusing on allowing students to retain an interest in the academy. However, it does not focus on sustainability.","RUSP is a two-semester course for students pursuing careers in academia/research. With a faculty mentor, students engage in a year-long research project and attend weekly seminars on how to conduct and present research, work in the academy, apply to post-undergraduate education and fellowships, and understand the social impact of research.",Rice Undergraduate Scholar Program,2021-2022,,,,,,
HONS,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=HONS,471,Spring 2022,Rice Undergraduate Scholars Program,1,NO,UG,"This technical course is very hands-on, focusing on allowing students to retain an interest in the academy. However, it does not focus on sustainability.","RUSP is a two-semester course for students pursuing careers in academia/research. With a faculty mentor, students engage in a year-long research project and attend weekly seminars on how to conduct and present research, work in the academy, apply to post-undergraduate education and fellowships, and understand the social impact of research.",Rice Undergraduate Scholar Program,2021-2022,,,,,,
HUMA,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=103&p_subj=HUMA,103,,Liberty & Terror: French Revolution,3,Y - included,UG,"Looking at an instance of revolution, which aimed (and in some ways failed) to address sus challenges of its time, as well as examination of ""emancipationist discoursess"" of the period","The French Revolution toppled an ancient monarchy and sent shockwaves throughout the world. We will interpret the historical sources, contexts, and problems of this watershed moment and investigate the problems by political, philosophical, literary, and visual documents regarding the pre-revolutionary status quo, the transformation of political liberty into repressive terror, worldwide warfare, and ideological struggle. The course will focus on historical contexts such as the influence of the Enlightenment; the emergence of citizenship and human rights; the development of social spectacles and the public sphere; the Reign of Terror and the regression to Tyranny; emancipationist discourses (the abolition of slavery, colonial revolt, radical feminism); and the contradictory figure of Napoleon. We will consider, finally, how the Revolution has come to be viewed, both within France and without, considering its many aftershocks and reverberations up until the present day. ",Humanities Division,2020-21,,,,,,
HUMA,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=120&p_subj=HUMA,120,,Where Is Utopia?,3,Y - focus,UG,Examining utopia means addressing sus challenges/imagining futures in which sus challenges have been resolved,"Where is utopia? Thomas More’s original coinage, suggesting both “good place” and “no place,” might give little cause for hope, but that hasn’t stopped visionaries, scientists, artists and scholars from seeking it out over the years. It might be in our past, or just ahead. We might be there now, if only we knew how to look: under the pavement, we might find the beach. Or utopia might be off our planet entirely. Ideals shape societies; scientific research, architecture, city planning and cultural production all attest to the hopes and values that spawned them. But as we consider the fallout of past utopian efforts, corollary questions present themselves: do we even want to find utopia? Does every “perfect” society imply a dystopian counterpart? Who is utopia for, and who is excluded? This course will explore utopia through the work of scientists, architects, artists and art movements. Classes will fall into three categories: lectures and reading discussions; field trips; and group art projects. These latter Learning Lab projects will encourage students to work together and apply the readings, discussions and artistic precedents towards their own visions of utopia. ",Humanities Division,2020-21,,,,,,
HUMA,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=122&p_subj=HUMA,122,,Who Should Vote?,3,Y - included,UG,Looking at racial and gendered inequality through the lens of democratic rights,"In 2020, Americans will celebrate the centennial of the Nineteenth Amendment and the sesquicentennial of the Fifteenth Amendment. Both anniversaries make it seem like the history of voting rights is a story of continually expanding suffrage. But the humanities can help students understand the more complex reality. Contests over “Who Should Vote?” have existed since the nation’s beginnings and continue today, as people argue over the prevalence of voter suppression or debate whether to lower the voting age. Studying historical contests over this “Big Question” is important because they illuminate the contingency of democracy. Democracy did not always mean the same thing to earlier Americans that it does to us. Moreover, expansions of the right to vote for some groups have often occurred hand in hand with new restrictions on voting for others. The history of suffrage is not one of unbroken progress or decline, but instead of continuous protest and political struggle. By exploring how earlier Americans fought over the answer to “Who Should Vote?"", students in this class will grapple with the meaning of American democracy itself.  ",Humanities Division,2020-21,,,,,,
HUMA,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=123&p_subj=HUMA,123,,Who What Why Is Disney?,3,N,UG,No notable focus on sustainability,"This course will engage students with three questions: WHO is Disney (as an artist and as an entrepreneur and creator of iconic figures and films)? WHAT is the Disney Corporation and how has it grown and evolved?WHY does the current configuration of Disney as global culture giant exist and why does it matter (in the lives of those it touches across the world, but also especially with regard to Disney's patents, copyrights and trademarks)?The course will cover the formation of Disney and its use of fairy tales and folk culture to build its narratives. It will cover the building of Disneyland and its utopian project of transforming theme parks and building a world around storytelling. It will cover the movement of Disney in the forefront of film production in the 1980s through its Touchstone imprint and through the utilization of digital animation technology. Finally, the course will discuss the current triumphal corporate world of Disney Plus, and the ownership of an immense set of copyrights, patents, and trademarks. Our current world is a triumphant one for Disney and our students will live in a culture dominated by a single corporation for the foreseeable future. ",Humanities Division,2020-21,,,,,,
HUMA,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=124&p_subj=HUMA,124,,Is This The End?,3,Y - included,UG,"Looking at sus challenges related to ""climate change and borders"" as well as other topics related to the ""dystopian"" conditions of the present day","Is this the end? The end of our planet, truth, certainty? This course explores this question via contemporary writing across the world. Taught from a global perspective, the course will examine writers’ responses to major topics of our age, among others, truth, climate change, and borders. ",Humanities Division,2020-21,,,,,,
HUMA,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=127&p_subj=HUMA,127,,What Is Hate?,3,Y - focus,UG,"Looking at sus challenges through exploration of ""scholarly works, literary expressions, and visual culture dealing with prejudice, discrimination, extreme nationalistic movements, racism, and genocide"" - examining sus challenges of violence and conflict","What is Hate?. Hate can be an emotion, an action, a belief, an ideology. It can manifest itself with great passion, or become normalized so that it isn’t even recognized as such –perhaps seen, instead, as an expression of “how things are.” This course gathers strands from diverse disciplines, in order to present a cohesive examination of “hate as a system” undermining civic life, and even the cultural and intellectual vitality of society. We will examine the unsettling question of “hatred” through scholarly works, literary expressions, and visual culture dealing with prejudice, discrimination, extreme nationalistic movements, racism, and genocide. Along with these academic and artistic explorations, we will advance into the realm of engaged humanities and activism, through a series of presentations by scholars and advocates. The class will benefit from presentations by faculty and guest speakers from our university (the Boniuk Institute for Religious Tolerance, the Office of Diversity and Inclusion), and the larger Houston community (Houston Coalition Against Hate, Anti-Defamation League, ACLU, etc.). ",Modern And Classical Literature And Culture,2020-21,,,,,,
HUMA,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=128&p_subj=HUMA,128,,Why Did So Many Die?,3,Y - included,UG,"Looking at how issues of gender, race, and class affect and intersect with public health through examination of a contemporary crisis","The U.S. response to the pandemic has been a disaster, and will end (if it ends!) with hundreds of thousands dead and tens of millions infected. How did this happen, and who is to blame? The main facts are now largely clear. But how to interpret them is another matter. Is this a story about how China blew up the whole world by being unwilling to admit it was facing a scary epidemic back in December and January? Is it a story about how the White House allowed Americans to die in the name of “saving the economy”? Is it a story about how selfish individuals went to the beach rather than suffer for the collective good, or a story about institutions that worked poorly? Is it all these things? We need to look back and make sense of this calamity.",Philosophy,2020-21,,,,,,
HUMA,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=202&p_subj=ENST,202,,"Culture, Energy, And Environment",3,Y - focus,UG,"Centrally focused on the relationship between humans, energy, and the climate.","Humanity faces extraordinary challenges in an era of climate change and energy transition. These challenges are not only technological but also questions of value, power, behavior, and understanding. This course draws upon new research across the arts, humanities and social sciences to help students better understand the cultural and social dimensions of our current patterns of energy use, their environmental impacts, and the possibility of new energy futures. Intended for both STEM majors and humanities and social science students. ",Humanities,2020-21,,,,,,
HUMA,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=203&p_subj=HUMA,203,,Cultures Of Fuel,3,Y - focus,UG,Sus challenges related to environment and consumption,"Can fuels (prior to their insertion in systems of energy) offer us hope in the face of climate change? This seminar, open to undergraduates and graduates from all disciplines, will consider fuels (real and imaginary; fossil-based and renewable) in literature, film, art and culture. Grades based on participation in discussions. ",Humanities Division,2020-21,,,,,,
HUMA,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=250&p_subj=HUMA,250,,Race And Media,3,Y - included,UG,Looking at racial inequality and understanding race through media,"This course offers a survey of media communication about race. We will examine media communication theories of identity formation, symbol creation, and influence. What media factors determine the discourse on race? The purpose of this course is to understand how notions of race have been defined and shaped in and through mass-mediated forms. Students will formulate informed recommendations on what could be done to promote greater cultural sensitivity and diversity in the media industry. ",Humanities Division,2020-21,,,,,,
HUMA,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=314&p_subj=HUMA,314,,"Communication, Technology, Change",3,N,UG,"Looking at technology, but not with a notable focus towards how tech intersects with sustainability",New communication technologies have profoundly altered daily life and challenge the definition of some of humanity's basic societal structures. This course explores interpretations of this transformation from many fields to better understand the change we are currently witnessing and to ask what the human experience is gaining and losing. ,Humanities Division,2020-21,,,,,,
HUMA,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=320&p_subj=HUMA,320,,Social Studies Of Energy,3,Y - focus,UG,Looking at sus challenges of the environment through consumption of fossil fuels,"How did whale oil become replaced by fossil fuels? What were the turning points in implementing electricity networks within urban centers? What is the role of markets and industries when producing such new energy infrastructures? This interdisciplinary course will trace ideas of energy in anthropology, science and technology studies, literary studies and environmental history, and investigate how energy production and consumption affects social life. ",Humanities Division,2020-21,,,,,,
HUMA,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=322&p_subj=GERM,322,,"Marx, Freud, Einstein",3,N,UG,"Examining the work of Marx, Freud, and Einstein ""in the context of their own time as well as their continued importance in the present"" - looking at Marx specifically in the context of the modern economic world and its uneven development? However, it is not particularly clear if this is touched on, so the course does not warrant inclusion. ","Like no others, these three thinkers of the 19th and 20th centuries have influenced the intellectual, historical, social and cultural development not only of Germany, but of the entire world. The course examines the works of these authors in the context of their own time as well as their continued importance in the present. Works by Brecht, Christa Wolf, Schnitzler, Kafka will also be considered. Taught in English. ",Humanities,2020-21,,,,,,
HUMA,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=324&p_subj=GERM,324,,"Berlin: Residence, Metro, Capital",3,N,UG,eliminated pre-syllabus gathering. No notable focus on sustainability,"The course offers an introduction to German history, politics, and culture as mirrored in the history of the old and new German capital. Berlin has always been a city of contradictions: from imperial glamour to proletarian slums, from the Roaring Twenties to Hitler's seizure of power. Emerging from the ruins of WWII Berlin became both the capital of Socialism and the display window of the Free World. After the fall of the wall, Berlin is still looking for its role in the center of a reshaped Europe. Readings and discussions encompass fine arts and literature from the 18th century to the present, including film. Taught in English.",Humanities,2020-21,,,,,,
HUMA,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=340&p_subj=GERM,340,,Walter Benjamin,3,N,UG,eliminated pre-syllabus gathering. No notable focus on sustainability,"Benjamin has been celebrated as a revolutionary Marxist, a theologian of Jewish Messianism, and as an essayist and literary critic. The course offers an introduction to his writings by way situating them in the historical background of the Weimar Republic and the crises of European society on the eve of WWII. Taught in English.",Humanities,2020-21,,,,,,
HURC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=299&p_subj=HURC,299,,History And Meaning,3,N,UG,No notable focus on sustainability,"In this course, students learn to apply critical humanistic methods to issues of public importance, especially in the Houston area. Participants study necessary applications of humanistic inquiry to civic life and contribute to this work themselves. Topics vary each semester. Past topics have included: Surreal Houston; Curating Heritage; (Dis)locating Art. Consult the Humanities Research Center or the English Department for more information. Repeatable for Credit. ",Humanities Research Center,2020-21,,,,,,
HURC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=361&p_subj=HURC,361,,The Humanities Of Care,3,N,UG,No notable focus on sustainability,"Pairing the perspectives of medicine, bioethics, and the medical humanities with thematic case studies in art, literature, cinema, and visual culture, the class examines the humanities of care and the end of life. ",Humanities Research Center,2020-21,,,,,,
INDE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=INDE,501,Fall 2021,Fundamentals Of Industrial Engineering,3,NO,UG,The topics discussed in this fundamentals for industrial engineering course do not pertain to sustainability.,"Introduction to fundamental tools in industrial engineering. Topics include productivity analysis, material handling, logistics, design of experiments, quality control, location theory, warehouse design, supply chain management and scheduling.",Industrial Engineering ,2021-2022,,,,,,
INDE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=INDE,517,Spring 2022,Mathematical Optimization Foundations Of Data Science,3,NO,UG,"The mathematical topics discussed in this machine learning course are not applied, but rather learned as theories. This course does not apply mathematical optimization theories in a sustainability context.","Optimization methods for machine learning. Topics included are as follows: basics of optimization theory, gradient-based optimization (e.g., gradient descent, stochastic gradient descents, AdaGrad, Adam, RMSProp, etc.), linear regression and its extensions (e.g., ridge regression and lasso), least-squares classification and logistic regression, Newton methods in machine learning, basics of constrained optimization, Lagrangian relaxation and duality, support vector machines, and optimization in neural networks.",Industrial Engineering ,2021-2022,,,,,,
INDE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=INDE,543,Fall 2021,Manufacturing Processes And Systems,3,NO,UG,The topics discussed in this fundamentals of manufacturing processes and systems course do not pertain to sustainability.,"Fundamentals of manufacturing processes and systems. Topics include machining, casting, 2D printing, material flow, capacities, bottlenecks, and just-in-time systems. Simulation and optimization of various manufacturing systems. Trade-offs among various processes.",Industrial Engineering ,2021-2022,,,,,,
INDE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=INDE,545,Fall 2021,Prescriptive Analytics,3,NO,UG,The topics discussed of decision analytics and mathematical programs are not sustainability focused.,"A survey of methods for combining mathematical models and large data sets to produce optimal decisions. Topics include decision analysis, dynamic programs, mathematical programs and various heuristics.",Industrial Engineering ,2021-2022,,,,,,
INDE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=INDE,546,Spring 2022,Computational Prescriptive Analytics,3,NO,UG,No notable focus on sustainability.,"A continuation of INDE 545 that focuses on computational approaches to prescriptive analytics. Topics include decomposition approaches to large-scale optimization, modeling languages, decision analysis and discrete-event simulation software. Emphasis will be placed on using relevant software on practical problems.",Industrial Engineering ,2021-2022,,,,,,
INDE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=INDE,561,Spring 2022,Supply Chain Management,3,Y - Focus,UG,"This course focused on supply chain management definitely discusses the ethics of SPM, and how sustainability can be incorporated into the supply chain management process.","Supply chain management is the integrated management of the flow of materials, products, services, and cash from the suppliers all the way to the customers and from the customers back to the suppliers. Due to the complex nature of today’s supply chains, effective management of these flows is a challenging task. This course aims to familiarize students with the concepts and models that are useful in designing and managing effective and efficient supply chains. Topics include facility location and distribution models, forecasting, sales & operations planning, supply chain coordination, inventory management, transportation, supplier selection, pricing & revenue management, and sustainability in supply chains",Industrial Engineering ,2021-2022,,,,,,
